"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
230,5.61,1.72455071953461,0,1,0,4,1,0,1,1,12,5.66,1.73342389221509,0,1,2,1,1,2,1,1,0.6125,0.18,2,0,9,0,5,1,0,7
232,2.02,0.703097511413113,0,0,0,4,1,0,1,0,12,0.015,-4.19970507787993,1,1,2,1,0,0,0,0,0.375,0.09,1,1,8,0,3,0,0,7
233,1.45,0.371563556432483,0,0,0,0,0,0,1,0,13,0,-4.60517018598809,1,1,2,1,1,1,1,1,0.5,0.6,5,2,3,0,4,0,0,0
235,4.78,1.56444054650336,0,1,1,1,0,0,0,1,15,0.28,-1.27296567581289,1,1,2,1,1,2,1,1,0.625,0.41,6,0,8,0,4,0,0,0
236,6.7,1.90210752639692,0,0,1,4,1,0,1,0,15,0,-4.60517018598809,1,1,2,1,0,0,0,0,0.7375,0.263,4,0,4,0,1,0,0,6
239,0.29,-1.23787435600162,1,0,0,0,0,0,0,1,18,16.27,2.78932292123095,0,1,2,0,1,2,0,1,0.5625,0.42,4,0,6,1,4,0,0,0
240,6.13,1.81319474994812,0,1,1,3,1,0,0,1,18,8.135,2.096175740671,0,1,2,1,1,2,1,1,0.675,0.05,2,0,10,1,6,0,0,5
241,3.62,1.28647402583768,0,1,1,3,1,0,1,1,18,3.925,1.36736635123437,0,1,2,0,1,2,0,1,0.55,0.37,0,0,9,0,6,1,1,8
242,0.13,-2.04022082852655,1,0,0,4,1,0,1,1,18,3.85,1.34807314829969,0,1,2,1,1,2,1,1,0.4375,0.19,0,4,7,1,4,1,1,9
244,5.59,1.72097928716701,0,0,0,3,1,0,1,1,12,2.76,1.01523067972906,0,1,2,1,1,1,1,1,0.6125,0.09,3,2,6,0,4,1,0,8
